Unit Type,Site,URL
Studio,Apartments.com,https://www.apartments.com/chicago-il/studios-under-2400/?so=8
1-Bedroom,Apartments.com,https://www.apartments.com/chicago-il/1-bedrooms-under-2800/?so=8
2-Bedroom,Apartments.com,https://www.apartments.com/chicago-il/2-bedrooms-under-5000/?so=8
3-Bedroom,Apartments.com,https://www.apartments.com/chicago-il/3-bedrooms-under-5500/?so=8
Studio,ForRent.com,https://www.forrent.com/find/IL/metro-Chicago/Chicago/price-Less+than+2400/beds-studio/extras-Rentals/new?sort=modified_desc
1-Bedroom,ForRent.com,https://www.forrent.com/find/IL/metro-Chicago/Chicago/price-Less+than+2800/beds-1/extras-Rentals/new?sort=modified_desc
2-Bedroom,ForRent.com,https://www.forrent.com/find/IL/metro-Chicago/Chicago/price-Less+than+5000/beds-2/extras-Rentals/new?sort=modified_desc
3-Bedroom,ForRent.com,https://www.forrent.com/find/IL/metro-Chicago/Chicago/price-Less+than+5500/beds-3/extras-Rentals/new?sort=modified_desc
Studio,Redfin,"https://www.redfin.com/city/29470/IL/Chicago/apartments-for-rent/filter/sort=lo-days,max-price=2.4k,min-beds=0,max-beds=0"
1-Bedroom,Redfin,"https://www.redfin.com/city/29470/IL/Chicago/apartments-for-rent/filter/sort=lo-days,max-price=2.8k,min-beds=1,max-beds=1"
2-Bedroom,Redfin,"https://www.redfin.com/city/29470/IL/Chicago/apartments-for-rent/filter/sort=lo-days,max-price=5k,min-beds=2,max-beds=2"
3-Bedroom,Redfin,"https://www.redfin.com/city/29470/IL/Chicago/apartments-for-rent/filter/sort=lo-days,max-price=5.5k,min-beds=3,max-beds=3"
Studio,Craigslist,https://chicago.craigslist.org/search/apa?max_bedrooms=0&max_price=2400&min_bedrooms=0#search=1~gallery~0~6
1-Bedroom,Craigslist,https://chicago.craigslist.org/search/apa?max_bedrooms=1&max_price=2800&min_bedrooms=1#search=1~gallery~0~0
2-Bedroom,Craigslist,https://chicago.craigslist.org/search/apa?max_bedrooms=2&max_price=5000&min_bedrooms=2#search=1~gallery~0~0
3-Bedroom,Craigslist,https://chicago.craigslist.org/search/apa?max_bedrooms=3&max_price=5500&min_bedrooms=3#search=1~gallery~0~0
